FirstName,LastName,Age,Pos,Date,Tm,H/A,Opp,Outcome,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Michael,Carter-Williams,29-082,G,12/31/2020,ORL,,PHI,L,7.1,0,27,3,11,0.273,3,9,0.333,0,2,0,4,4,1,2,4,6,1,0,1,0,1,10,-3.8
Markelle,Fultz,22-218,G,1/2/2021,ORL,,OKC,L,7.1,1,35,5,16,0.313,4,12,0.333,1,4,0.25,1,2,0.5,0,3,3,8,2,0,3,2,12,-7.6
Jordan,Bone,23-067,G,1/11/2021,ORL,,MIL,L,7,0,29,3,6,0.5,1,2,0.5,2,4,0.5,0,0,,1,3,4,2,0,0,1,0,8,-2.6
Khem,Birch,28-090,C-F,12/27/2020,ORL,@,WAS,W,6.8,0,20,1,6,0.167,1,6,0.167,0,0,,4,4,1,2,5,7,2,0,1,0,1,6,-2.9
Khem,Birch,28-112,C-F,1/18/2021,ORL,@,NYK,L,6.6,0,25,1,4,0.25,1,4,0.25,0,0,,3,4,0.75,1,6,7,1,2,0,0,2,5,-0.8
Jordan,Bone,23-062,G,1/6/2021,ORL,,CLE,W,6.6,0,12,3,4,0.75,2,2,1,1,2,0.5,0,0,,1,2,3,1,0,0,0,2,7,9.6
Cole,Anthony,20-230,G,12/31/2020,ORL,,PHI,L,6.5,0,30,5,18,0.278,4,14,0.286,1,4,0.25,5,5,1,1,6,7,2,0,0,2,2,16,-7.2
Khem,Birch,28-110,C-F,1/16/2021,ORL,@,BRK,L,6.4,0,25,3,9,0.333,3,7,0.429,0,2,0,3,4,0.75,1,3,4,2,0,1,0,2,9,-8.2
Khem,Birch,28-089,C-F,12/26/2020,ORL,@,WAS,W,6.4,0,17,4,6,0.667,4,6,0.667,0,0,,0,0,,0,5,5,1,0,0,0,3,8,-1.3
James,Ennis,30-203,F,1/20/2021,ORL,@,MIN,W,6.4,1,28,2,4,0.5,1,3,0.333,1,1,1,0,0,,1,2,3,3,0,0,0,0,5,-1.3
Evan,Fournier,28-061,G-F,12/29/2020,ORL,@,OKC,W,6.4,1,32,5,11,0.455,3,5,0.6,2,6,0.333,2,2,1,0,1,1,2,2,0,4,4,14,-7.7
Cole,Anthony,20-234,G,1/4/2021,ORL,,CLE,W,6.3,0,21,2,9,0.222,1,7,0.143,1,2,0.5,4,5,0.8,1,4,5,4,0,1,1,3,9,-3.5
