FirstName,LastName,Age,Pos,Date,Tm,H/A,Opp,Outcome,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Gary,Clark,26-041,F,12/27/2020,ORL,@,WAS,W,-0.8,0,9,0,2,0,0,0,,0,2,0,0,0,,1,2,3,1,0,0,1,1,0,-15.8
Michael,Carter-Williams,29-084,G,1/2/2021,ORL,,OKC,L,-0.9,1,31,2,11,0.182,2,7,0.286,0,4,0,0,0,,4,5,9,1,0,0,1,5,4,-16.3
Dwayne,Bacon,25-115,G,12/23/2020,ORL,,MIA,W,-1.3,1,19,0,5,0,0,4,0,0,1,0,0,0,,0,3,3,3,0,0,0,2,0,-12.7
James,Ennis,30-198,F,1/15/2021,ORL,@,BOS,L,-1.3,1,15,1,4,0.25,1,2,0.5,0,2,0,0,0,,0,1,1,0,0,0,0,3,2,-16.8
Karim,Mané,20-229,G,12/31/2020,ORL,,PHI,L,-1.3,0,19,0,3,0,0,3,0,0,0,,0,0,,0,4,4,0,0,0,0,1,0,-13.7
Terrence,Ross,29-338,F-G,1/8/2021,ORL,@,HOU,L,-1.3,0,18,2,9,0.222,1,5,0.2,1,4,0.25,0,0,,0,1,1,1,1,0,2,2,5,-18.2
Mohamed,Bamba,22-239,C,1/6/2021,ORL,,CLE,W,-1.9,0,4,0,2,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,0,2,0,-37.7
Michael,Carter-Williams,29-086,G,1/4/2021,ORL,,CLE,W,-2.1,1,18,0,4,0,0,2,0,0,2,0,0,0,,1,0,1,3,0,1,2,2,0,-11.8
Gary,Clark,26-053,F,1/8/2021,ORL,@,HOU,L,-2.6,1,31,0,3,0,0,0,,0,3,0,0,0,,0,4,4,0,0,1,2,1,0,-15.8
Gary,Clark,26-063,F,1/18/2021,ORL,@,NYK,L,-2.6,0,19,0,5,0,0,0,,0,5,0,0,0,,0,2,2,0,0,1,0,1,0,-15.3
Dwayne,Bacon,25-141,G,1/18/2021,ORL,@,NYK,L,-4.5,1,27,1,7,0.143,1,4,0.25,0,3,0,0,0,,0,1,1,1,0,0,1,5,2,-18.3
